지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),최소상대습도(%),월합강수량(00~24h만)(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),평균운량(1/10),합계 일조시간(hr),일조율(%),평균지면온도(°C)
90,속초,Oct-22,13.9,18.2,10,29.9,4.8,1019.1,1021.3,11.2,70,15,377.1,76.8,1.8,8.6,5.5,153.8,44.22,14.6
90,속초,Nov-22,11,16,6.3,22.3,-4.6,1017.6,1019.8,7.5,55,10,38.4,9.8,1.9,10.3,4,198.8,65.35,9.7
90,속초,Dec-22,-0.2,4.1,-4.4,11.6,-12.5,1019.3,1021.5,2.2,35,11,0.7,0.7,2.4,8.8,2.8,233.5,78.81,-0.1
90,속초,Jan-23,0.2,4.6,-4.3,15.1,-16,1019.9,1022.1,3,45,9,94.7,47.7,2,8.7,3.8,215.7,70.65,0.1
90,속초,Feb-23,2.7,6.6,-1.6,15.6,-6.4,1022.3,1024.5,3.8,53,9,43.4,26,1.9,9.1,4.3,186.6,61.89,1.4
90,속초,Mar-23,9.3,13.4,4.6,25.4,-1.7,1016.9,1019,6.2,54,9,10.1,6.3,2.1,8.2,4.2,224,60.46,9.2
90,속초,Apr-23,12.6,17.4,8,26.9,4,1011.6,1013.7,8.6,61,8,57,28,2.2,11.3,5.2,212.2,53.61,13.9
90,속초,May-23,17,21.8,12.6,34.4,5.5,1010.9,1013,12.5,67,12,81,48.4,1.9,8.2,5.6,232.6,52.66,21.2
90,속초,Jun-23,21.9,26.2,17.9,34.3,13.3,1004.5,1006.5,18.9,74,21,200.1,38.2,1.8,9,5.3,244.9,55.26,26.1
90,속초,Jul-23,25.8,30,22.8,35.1,19.6,1004.6,1006.6,25.7,79,27,108.2,29.4,1.5,7.7,6.4,184.5,40.95,29.6
90,속초,Aug-23,24.7,28,22.2,36.6,19.1,1004.5,1006.5,26.1,85,36,669.6,368.7,1.4,11.2,6.9,121.9,47.36,28.5
90,속초,Sep-23,21.7,25.1,18.5,30.6,13.6,1011.8,1013.9,21,81,39,208.2,76.8,1.4,8.1,6.1,156.6,41.91,24.3
90,속초,Oct-23,16.4,21.2,11.5,25.5,6.3,1015.5,1017.5,10.9,59,18,31.4,18.7,1.8,6.8,3.6,218.1,62.69,16.4
90,속초,Nov-23,8.8,13.6,4.2,27.5,-6,1016.5,1018.6,6.2,48,11,60.1,27.7,2.4,12.2,3.3,208.7,68.58,8.2
90,속초,Dec-23,2.3,5.9,-2.3,19,-13.2,1020.7,1023,4.5,56,17,205,66.6,2.3,11.7,4,174,58.72,1.6
93,북춘천,Jan-21,-5.7,0.7,-11.8,11.5,-22.5,1013,1025.4,3.1,68,18,14.3,3.3,1,10.2,3.9,181.6,59.23,-3.6
93,북춘천,Feb-21,0.4,7.6,-6.3,19.7,-14.2,1009.4,1021.5,4,61,5,5.6,2.6,1.5,7.9,3.6,210.7,69.65,1.3
93,북춘천,Mar-21,7.1,14.3,0.5,22.8,-4.7,1008.3,1020.1,6.5,68,12,100.1,66.2,1.3,8.8,4.7,217.1,58.5,8.9
93,북춘천,Apr-21,12.4,19.5,5.5,29.2,-0.1,1007,1018.6,8.1,61,11,110.2,56.6,1.5,7.8,4.9,225.5,56.97,15.5
93,북춘천,May-21,15.6,22.1,9.8,30.6,3.1,997.9,1009.1,12.9,75,16,159.3,67.4,1.4,9.1,6,190.3,43.13,18.8
93,북춘천,Jun-21,21.6,27.5,16.7,32.3,12.4,997,1007.9,19.5,78,22,128.1,26.2,1.2,7.3,6.4,186.6,42.13,24.8
93,북춘천,Jul-21,26.7,32.7,22,36.6,18.5,997.5,1008.3,27.1,80,36,202,58.7,1,7.7,6,251.7,56.01,32.2
93,북춘천,Aug-21,24.3,29.3,20.5,34.4,15.7,998.1,1009,24.6,82,38,122.5,31.2,1.1,7.2,7.4,154,36.54,28.1
93,북춘천,Sep-21,20.7,26.4,15.7,29.7,13.2,1003.2,1014.3,18.7,79,33,103.7,37.5,1.1,6.2,6.1,188.6,50.56,23.5
93,북춘천,Oct-21,13.1,19.6,7.9,28.2,-2,1010.5,1022,13.2,83,20,64.4,29.7,0.9,5.2,5.7,160.2,46.06,15
93,북춘천,Nov-21,5.3,12.2,-0.4,21,-6.6,1008.2,1020.1,6.9,75,22,49.8,27.1,1.2,7.9,4.6,163.1,53.55,5.7
93,북춘천,Dec-21,-2.2,3.8,-7.5,11.4,-17.2,1013.4,1025.7,4,72,19,5.2,1.9,1.1,8.4,3.9,173.8,58.36,-1.1
93,북춘천,Jan-22,-5.1,1.8,-11.5,7.8,-16.6,1013.4,1025.8,2.8,65,17,1.9,1.5,0.8,6.4,3.1,219.2,71.52,-3.7
93,북춘천,Feb-22,-3.5,3.7,-10.6,10.7,-15.8,1013.7,1026,2.6,55,13,6.3,4.6,1.5,8.1,2.8,224.1,74.13,-1.6
93,북춘천,Mar-22,5.7,12.5,-0.9,18.5,-7.6,1006.1,1017.9,6.1,66,6,88.3,31.7,1.4,9.1,5,195.6,52.72,6.4
93,북춘천,Apr-22,13,21.2,5.1,29.8,-1.9,1005.7,1017.2,8,56,9,27.7,16.7,1.7,7.1,3.7,264.2,66.78,16.5
93,북춘천,May-22,17.2,25,9.4,30.7,2.4,1001,1012.2,11.2,60,13,8.1,4.6,1.7,8.6,4.3,281.3,63.79,22.7
93,북춘천,Jun-22,21.9,27,17.3,34.2,9.2,996.6,1007.6,20.5,78,19,386.5,129.9,1.3,6.8,7,142.7,32.22,24.8
93,북춘천,Jul-22,26,31.1,22.2,35.8,19.6,995.1,1005.9,27.9,85,39,223.8,74.7,1,6.5,7.1,174.6,38.84,29.8
93,북춘천,Aug-22,24.5,28.8,21.4,33,12.1,996.3,1007.2,26.9,88,36,418.4,110.8,1,6.1,7.6,121.9,29.88,27.3
93,북춘천,Sep-22,19.8,26.5,14.4,30.8,6.8,1003.3,1014.4,18.3,80,27,239,158,1.1,6.7,6,207,55.45,23.4
93,북춘천,Oct-22,11.8,18.6,6.3,25.7,-0.6,1010.9,1022.5,11.3,81,19,116.1,82.1,1,6.6,5.3,186.3,53.52,14
93,북춘천,Nov-22,6.5,14,0.5,20.6,-8.1,1010.4,1022.3,7.6,77,15,64,36.1,0.9,7,4.4,175.7,57.63,7.5
93,북춘천,Dec-22,-6.1,0.1,-11.3,8.1,-18.5,1013.4,1025.8,2.8,70,19,10.7,4.6,1,6.8,3.8,190.6,63.98,-2.5
93,북춘천,Jan-23,-5.2,1.2,-11.1,9.2,-21.7,1013.3,1025.8,3.3,75,18,43.8,25.5,0.8,6.2,4.4,183.1,59.8,-2.6
93,북춘천,Feb-23,-0.5,6.5,-6.6,12.8,-11.7,1014.4,1026.6,3.9,68,16,1.1,1.1,1,6.2,3.4,216.2,71.59,0.4
93,북춘천,Mar-23,7.4,16.3,-0.9,25,-6.9,1008.8,1020.6,5.6,57,9,8.4,6.1,1.3,7.2,3.3,272.6,73.58,8.9
93,북춘천,Apr-23,12.1,18.6,5.4,27.8,-2.2,1003.6,1015.1,8.7,65,12,95.7,40.6,1.6,10.1,5.5,208.2,52.67,14.4
93,북춘천,May-23,17.7,25,10.7,31.4,2.3,1002.3,1013.5,13.2,69,16,112.4,37.4,1.4,8,5.3,281.4,63.84,22
93,북춘천,Jun-23,22.4,28.4,17.3,33.7,12.3,996,1007,20.3,77,22,280.7,83.1,1.3,7,5.8,235,54.88,26.9
93,북춘천,Jul-23,26,30.9,22.3,34.8,17.9,996.6,1007.4,27.9,85,37,318.1,58.2,1.1,6.6,6.9,192.9,42.9,29
93,북춘천,Aug-23,26.1,30.9,22.3,35.2,18.9,995.2,1006,27.3,83,47,203.6,68.5,1.1,6.2,6.8,202.8,48.05,30.1
93,북춘천,Sep-23,21.8,27.2,17.7,32.4,11.5,1002.8,1013.8,21.5,84,32,119.5,26.6,0.9,5.6,6.7,183.5,49.12,25.3
93,북춘천,Oct-23,12.3,19.6,7,23.5,-0.2,1008.1,1019.6,11.6,82,22,25.9,11.2,0.8,7,5.2,195.9,56.26,14.9
93,북춘천,Nov-23,4.6,10.4,-0.8,25.9,-9.7,1010.1,1022,6.9,71,14,80.3,51.9,1.3,8.2,4.2,181.9,59.64,5.4
93,북춘천,Dec-23,-1.6,3.9,-6.6,16.9,-16.9,1013.6,1025.8,4.5,72,23,77.3,31.1,1.1,7,4.8,164.6,55.29,-0.8
95,철원,Jan-21,-5.9,0.7,-12.6,13.1,-22.4,1005.6,1025.8,3.2,70,19,7.6,3.1,1.2,6.8,4.5,189.5,61.95,-3.5
95,철원,Feb-21,0.1,6.8,-6.7,17.3,-14.6,1002.3,1021.9,4.2,64,8,4.8,2.5,1.5,5.7,4,203,67.17,0.8
95,철원,Mar-21,6.2,13.4,-0.3,21.7,-7.8,1001.3,1020.3,6.8,75,17,103.7,63.2,1.5,7.4,4.5,240.7,64.83,7.5
95,철원,Apr-21,12,18.7,5.2,28,-0.3,1000,1018.6,8.5,65,15,99.3,43.9,1.7,6.4,4.5,262,66.14,14.3
95,철원,May-21,15.5,21.8,9.7,29.7,3.6,991,1009.2,13.5,79,14,199.1,79.4,1.5,7.3,5.5,247.5,56.02,18.8
95,철원,Jun-21,21.2,26.8,16.4,31.1,12.4,990.1,1007.9,21.2,86,31,67.6,18,1.3,6,6.2,247.4,55.83,24.5
95,철원,Jul-21,26.1,31.7,21.2,35.7,17.7,990.8,1008.3,29,88,36,117.2,52.5,1.1,7.2,5.6,289.1,64.22,31.2
95,철원,Aug-21,23.6,28.7,19.7,32.1,15.4,991.4,1009,26,90,44,219.6,53.4,1.4,6.6,6.9,211.3,50.06,26.9
95,철원,Sep-21,20.3,26,15.1,29.6,12.5,996.3,1014.3,19.8,86,36,105.9,44.5,1.4,5.7,5.5,231.6,62.09,22.4
95,철원,Oct-21,12.7,19.2,7.3,27.6,-2.6,1003.4,1022.1,13.4,86,23,128.3,70.7,1,6,4.9,196.1,56.42,14.1
95,철원,Nov-21,5.3,12,-0.4,20.1,-7.1,1001.2,1020.3,7.2,79,25,57.3,25,1.1,6.2,4.4,174.1,57.23,5
95,철원,Dec-21,-2.1,3.6,-7.5,11.1,-18,1006.2,1026.1,4.4,76,23,4.9,1.6,1.1,5.9,3.6,177.3,59.78,-1.7
95,철원,Jan-22,-5.8,1.3,-12.7,7.2,-20.1,1006.3,1026.4,2.9,73,22,2.5,1.6,0.8,5,3.8,211,69.02,-4.7
95,철원,Feb-22,-3.9,2.8,-10.8,9.7,-17,1006.6,1026.6,3,62,18,8.9,7.6,1.4,6.3,3.8,219.4,72.67,-2.9
95,철원,Mar-22,5.2,11.6,-1.3,17.9,-8.5,999,1018.2,6.4,72,11,90.9,36.6,1.6,6.9,5,219.7,59.23,5.7
95,철원,Apr-22,12.6,19.9,5.1,28.8,-2.6,998.8,1017.4,8.6,61,11,17.9,13.8,1.7,6.4,3.9,281.5,71.09,16.2
95,철원,May-22,16.7,23.8,9.4,29.5,2,994.2,1012.4,12.1,67,16,14.5,10.7,1.6,6.3,4.4,327.7,74.19,23.4
95,철원,Jun-22,21.2,25.8,17,31.7,10.3,989.8,1007.5,21.2,86,27,437.2,144.1,1.8,7.1,6.7,195.6,44.14,25.1
95,철원,Jul-22,25.2,29.9,21.4,34.5,18.8,988.5,1006,26.9,85,47,247.6,75.1,1.1,5.6,6.6,227.5,50.53,28.2
95,철원,Aug-22,24,28.2,20.6,32.2,11,989.5,1007.1,25.9,87,42,420.4,119.9,1.2,5.7,6.8,176.3,41.76,26.5
95,철원,Sep-22,19.4,25.9,13.8,31.6,6.9,996.3,1014.3,17.4,78,28,257.4,131.5,1.4,6.9,5.3,236.3,63.28,21.1
95,철원,Oct-22,11.4,18.3,5.7,26.3,-1.3,1003.9,1022.7,10.8,80,16,162.1,109.5,1,5,5,211.6,60.84,14.1
95,철원,Nov-22,6.6,13.9,0.5,20.6,-9.7,1003.4,1022.4,7.8,77,17,85.2,37.1,0.9,5.7,4.4,179.3,58.9,8.3
95,철원,Dec-22,-6.8,-0.6,-12.7,7.7,-20.4,1006.2,1026.4,2.7,70,18,8.1,3.1,0.9,7.4,4.9,197.1,66.41,-0.3
95,철원,Jan-23,-5.8,0.7,-12.4,9.7,-21.9,1006,1026.1,3.2,75,20,42.2,28.9,0.9,5,5.1,177.1,57.95,-1.2
95,철원,Feb-23,-0.9,5.7,-6.9,10.9,-11.9,1007.3,1027.1,3.8,68,16,0,0,1,5,3.2,203.1,67.32,0.7
95,철원,Mar-23,6.7,15.1,-1.4,23.7,-6.4,1001.9,1020.9,5.4,58,10,12.5,9.2,1.2,5.7,3.6,257.9,69.61,7.4
95,철원,Apr-23,11.7,17.9,5.2,27,-1.6,996.5,1015.1,8.2,64,9,97.5,39.3,1.6,6.2,5,213.9,54.1,13.3
95,철원,May-23,17.4,24,10.8,30.1,3,995.4,1013.6,12.9,67,18,161.9,75.5,1.5,5.8,5.2,280.8,63.62,20.3
95,철원,Jun-23,21.7,27.3,16.7,33.3,12,989.4,1007.1,19.7,78,23,220.4,60.9,1.3,5.4,5.4,234.1,54.66,25.9
95,철원,Jul-23,25.4,30.1,21.7,33.6,17.7,989.9,1007.4,27.4,86,26,383.4,74,1.3,6.7,6.4,202.3,44.92,28.9
95,철원,Aug-23,25.1,29.8,21.4,33.8,17.9,988.6,1006.1,26.8,85,48,241.6,73.7,1.5,6.4,6.8,198.5,46.97,28.3
95,철원,Sep-23,21.3,26.8,16.8,31.8,10.7,995.9,1013.8,20.9,84,30,102.9,30.5,1.2,5.5,6.2,192.8,51.59,23.6
95,철원,Oct-23,12.4,19.7,6.2,22.8,-0.4,1001,1019.6,11.2,79,24,30.5,12.5,0.9,4.9,4.1,229.3,65.89,14.2
95,철원,Nov-23,4.3,9.8,-0.7,24.6,-11.6,1003.1,1022.4,7,73,17,104.9,62.8,1.3,6.3,3.7,161,52.87,5.5
95,철원,Dec-23,-1.9,3.3,-7.2,15.6,-18.3,1006.3,1026.1,4.7,79,32,69.4,21.9,1.4,7.1,4.5,148.4,50.02,0
98,동두천,Jan-21,-4.2,2.1,-9.9,15,-20.2,1010.9,1025.8,3.3,64,20,15.4,4.7,1.4,10.7,3.9,188.8,61.56,-3.1
98,동두천,Feb-21,1.3,8.4,-5,19.2,-12.2,1007.7,1022.2,4.3,60,10,8.5,5.8,1.9,9.3,3.9,189.6,62.7,2.3
98,동두천,Mar-21,7.7,15.5,1.6,23.9,-3.8,1006.2,1020.4,6.9,68,15,107.8,70.7,1.6,8.1,4.5,238.4,64.22,10.2
98,동두천,Apr-21,13,20.3,6.7,29.1,0,1004.9,1018.7,8.5,60,16,99.3,49,1.7,9,4.8,239,60.37,15.7
98,동두천,May-21,15.8,22.2,10.2,29.9,5,995.8,1009.4,13.4,77,21,228.8,79.4,1.5,8.2,5.4,210.8,47.78,19.3
98,동두천,Jun-21,21.3,27,16.8,30.8,11.5,994.8,1008,20.7,83,39,103.3,23.7,1.1,6.2,6,207.7,46.9,25.9
98,동두천,Jul-21,26.4,31.7,22.1,35.7,18.5,995.3,1008.4,28.2,83,42,100.2,34.8,0.9,6.9,5.7,237.8,52.9,32.2
98,동두천,Aug-21,24.3,29.2,20.6,32.6,17.7,995.9,1009,25.5,85,45,140.6,52.7,0.9,5.8,6.9,163.4,38.76,28.5
98,동두천,Sep-21,20.8,26.3,16.2,29.6,13.8,1000.9,1014.2,19.7,82,40,100.6,50.1,1,6,5.4,203.5,54.54,23.7
98,동두천,Oct-21,13.7,19.9,8.5,28.2,-0.9,1008,1021.9,13.3,80,23,71.2,36.8,0.9,5.6,4.7,186.5,53.62,15.8
98,동두천,Nov-21,6.4,13.3,1,22.2,-5.4,1005.8,1020,7.1,73,25,51.6,22.6,1.3,8.8,4.6,166.8,54.76,6.6
98,동두천,Dec-21,-1.1,5,-6.1,12.8,-17.3,1011.1,1025.8,4.1,66,20,8.3,3.3,1.4,7.9,3.5,185.1,62.2,-0.5
98,동두천,Jan-22,-3.9,2.6,-9.7,7.8,-15.1,1011.1,1025.9,2.8,60,20,6.5,2.8,1.1,6.9,3.3,214.7,70.05,-3.2
98,동두천,Feb-22,-2.6,4.4,-8.5,11.6,-13.3,1011.6,1026.4,2.9,56,15,7.1,3.4,1.8,8.2,3.1,220,72.8,-1.3
98,동두천,Mar-22,6.4,13.6,0.6,20.8,-5.5,1003.6,1017.8,6.3,64,8,91,25.9,1.6,11.2,5,201.9,54.44,6.6
98,동두천,Apr-22,13.6,21.7,6.9,30.3,-0.7,1003.4,1017.1,8.4,56,13,17.8,15.2,1.7,7,4,262.9,66.47,17.9
98,동두천,May-22,17.4,25.2,10.4,30.4,3.7,998.6,1012.2,11.5,60,13,16.4,13.3,1.6,8.7,4.3,305.2,69.19,24.4
98,동두천,Jun-22,21.5,26.6,17.4,31.9,11.9,993.9,1007.1,20.7,81,22,522.8,219.9,1.4,9.1,6.7,162.2,36.64,24.8
98,동두천,Jul-22,25.8,30.4,22.2,35.4,19,992.7,1005.7,28,85,46,302.7,92.2,1,5.5,6.7,189,42.04,29.1
98,동두천,Aug-22,24.2,28.2,21.2,31.7,12.4,993.7,1006.8,26.8,88,34,506.8,147.2,1.1,7.2,6.7,143.4,33.98,27.2
98,동두천,Sep-22,20,26.3,15.1,30.8,8.6,1000.3,1013.7,18.4,79,33,204.5,106.6,0.8,5.5,5.3,220,58.93,23.3
98,동두천,Oct-22,12.3,19.2,7.1,26.8,0.2,1008.2,1022.1,11.2,78,21,146.3,90.1,0.7,6.2,4.6,204.7,58.82,15.4
98,동두천,Nov-22,8,15.2,2.3,22.4,-9.4,1007.8,1021.9,7.9,72,18,88.7,45.7,0.9,6.6,4.6,177.6,58.27,9.3
98,동두천,Dec-22,-4.9,1,-9.8,10.1,-16.8,1011,1026,2.8,64,15,12,5.9,0.9,7.5,4,198.8,66.78,-1.1
98,동두천,Jan-23,-3.7,2.2,-9.1,13.2,-20.3,1010.8,1025.6,3.5,70,18,49.8,32.8,0.8,7.3,3.7,186.5,60.87,-1.1
98,동두천,Feb-23,0.6,7.4,-4.7,12.9,-8.9,1011.9,1026.6,3.8,61,15,0.5,0.4,0.9,6.8,2.9,197,65.25,1.7
98,동두천,Mar-23,8.3,16.9,1.1,26.4,-4.7,1006.5,1020.6,5.4,51,7,14.4,8.4,1.4,7.9,3.5,251.2,67.78,8.8
98,동두천,Apr-23,12.7,19.4,6.6,28.7,-0.7,1001.1,1014.9,8.2,59,8,94.6,47.3,1.5,8.6,5.3,198.9,50.32,14.2
98,동두천,May-23,18,25,11.6,30.8,4.5,999.6,1013.1,13.6,68,16,158.7,69.3,1.2,6.8,5.3,244.2,55.39,21.6
98,동두천,Jun-23,22,27.4,17.3,33,13.8,993.5,1006.7,20.7,79,27,218.4,79.5,1.1,5.9,5.3,193,43.6,25.8
98,동두천,Jul-23,25.6,29.8,22.2,33.5,18.7,994,1007,28.2,87,39,355.6,65.3,1.1,6.4,6.1,164.6,36.61,28.5
98,동두천,Aug-23,25.6,30.1,22.1,34.3,18.7,992.4,1005.4,28,87,50,255.9,55.7,1,4.7,6.6,161.6,38.28,29.1
98,동두천,Sep-23,21.8,27,17.7,32,12.5,999.9,1013.2,21.8,84,27,56.3,16.5,0.8,3.6,6.2,165.9,44.41,25
98,동두천,Oct-23,13.6,20.5,8.2,23.6,1.5,1005.3,1019.1,11.7,77,19,38.5,23.1,0.8,5.5,4.2,206.3,59.21,15.7
98,동두천,Nov-23,5.4,11.2,0.5,25.7,-8.4,1007.7,1022,7.2,68,10,93.4,54.8,1.5,9.4,3.7,161.7,53,6.5
98,동두천,Dec-23,-0.5,4.8,-5.1,16.3,-16.3,1010.8,1025.5,4.9,72,15,76.6,20,1.3,9.2,4,151.8,50.96,0.4
99,파주,Jan-21,-5.1,1.5,-11.4,13.4,-21.7,1021.9,1025.8,3.1,65,19,12.9,4.9,1.4,9.5,4,192.8,62.88,-3.2
99,파주,Feb-21,0.5,7.2,-6.1,16.8,-13.7,1018.4,1022.3,4.3,64,15,10,7.5,1.8,7.3,4.1,197.1,65.16,1.5
99,파주,Mar-21,6.7,14,0.4,22,-4.7,1016.8,1020.5,6.9,73,22,112.4,64.8,1.5,6.8,4.7,242.6,65.37,8.4
99,파주,Apr-21,12.2,19,5.8,26.7,-0.5,1015.2,1018.9,8.9,65,17,106.4,48.5,1.8,8.8,4.7,234.8,59.34,14.3
99,파주,May-21,15.5,21.9,10.1,29.4,4,1005.9,1009.5,13.6,79,22,243,100,1.5,7.1,5.4,212.8,48.23,18.2
99,파주,Jun-21,21.1,26.7,16.7,30.2,11.5,1004.6,1008.1,20.8,85,39,50.4,14.3,1.2,6.5,6.1,198.9,44.91,25.2
99,파주,Jul-21,26.1,31.4,22,35.1,19.1,1004.9,1008.4,28.1,85,40,93.6,46.2,1.1,5.2,5.3,256.6,57.1,30.7
99,파주,Aug-21,24.1,29.3,20.1,33,16.8,1005.5,1009,24.7,84,39,183.3,72.5,1.3,5.6,6.8,180.1,42.72,27.8
99,파주,Sep-21,20.6,26.5,16,29.5,13,1010.6,1014.2,19.7,83,47,93.5,47.2,1.6,5,5.3,209.4,56.12,22.7
99,파주,Oct-21,13,19.8,7.6,27.3,-2,1018.4,1022.1,13.1,82,24,79.4,42.5,1.1,5.2,4.6,190.5,54.77,15.1
99,파주,Nov-21,5.5,12.7,-0.5,21.8,-7,1016.8,1020.6,7.3,79,30,47.2,23.1,1.1,7.6,4.4,176,57.78,6
99,파주,Dec-21,-1.9,4.4,-7.6,12.3,-18.7,1022.4,1026.3,4.1,71,25,5.8,1.8,1.2,8.2,3.2,193.1,64.84,-0.7
99,파주,Jan-22,-5.2,1.9,-12.3,7.5,-18.7,1022.5,1026.5,2.8,66,23,7.2,2.8,1,5.5,3.4,218.6,71.32,-3.4
99,파주,Feb-22,-3.6,3.5,-10.8,11.1,-15.6,1023.1,1027.1,3.1,63,20,2.6,1.5,1.5,6.5,3,222,73.44,-1.9
99,파주,Mar-22,5.3,12.2,-1.1,19.4,-8.2,1014.6,1018.4,6.4,70,15,103.3,41.2,1.5,8.9,5.3,195.4,52.67,5.6
99,파주,Apr-22,12.4,19.8,5.4,28.2,-2.6,1014.2,1017.9,9.2,65,20,19.5,14.8,1.7,6.5,4.4,271.2,68.57,16.3
99,파주,May-22,16.4,24,9.1,29.1,1.7,1009.3,1012.9,12.5,69,17,12.7,8.5,1.5,7.4,4.2,301.9,68.47,23.4
99,파주,Jun-22,21.2,26.1,17.2,30.7,10.6,1004.2,1007.8,21.2,84,26,509.9,199.1,1.6,7.9,6.7,156.6,35.36,25.4
99,파주,Jul-22,25.4,30.1,21.9,34.2,19.1,1002.6,1006.1,28.5,89,51,290.2,109,1.2,5.8,6.7,187.4,41.69,28.6
99,파주,Aug-22,24.1,28.3,20.8,32,12.3,1003.9,1007.4,27.1,90,42,353.5,134.5,1.3,8.7,6.5,160.6,38.06,26.9
99,파주,Sep-22,19.5,26,14.4,30.7,7.5,1010.7,1014.3,19,84,34,152.4,91.4,1.1,5.5,5.4,214.8,57.54,22.8
99,파주,Oct-22,11.6,18.8,6,25.3,-1.4,1019,1022.7,11.3,82,27,181.6,118.4,0.9,5.4,4.4,217.2,62.41,14.7
99,파주,Nov-22,7.1,14.4,0.9,22.3,-9.2,1018.7,1022.5,8.1,78,21,89.2,42.5,0.9,6.1,4.8,171.1,56.1,8.9
99,파주,Dec-22,-5.8,0.4,-11.2,9.1,-18.8,1022.5,1026.5,2.9,70,25,8.4,3.9,0.9,6.9,3.2,207.1,69.52,-1.4
99,파주,Jan-23,-4.5,1.6,-10.7,11.6,-20.9,1022.2,1026.2,3.5,73,25,42.9,31.3,1,6.7,3.4,185.3,60.52,-2
99,파주,Feb-23,-0.4,6.2,-6.4,11,-10.5,1023.3,1027.2,4,68,22,1,0.7,1.1,7.2,3.4,200.7,66.43,0.9
99,파주,Mar-23,6.8,14.8,-0.8,23.7,-6.5,1017.5,1021.3,6,62,14,14.7,9.7,1.5,8.2,3.7,238.2,64.27,7.7
